search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8793046B2,Inferring state of traffic signal and other aspects of a vehicle's environment based on surrogate data ,Google Inc.,"Peter Lombrozo, Eric Teller, Bradley Templeton",2012-06-01,2012-06-01,2014-07-29,2014-07-29,https://patents.google.com/patent/US8793046B2/en
US20130184926A1,Autonomous lane control system ,"Ford Global Technologies, Llc","Dorian Jack Spero, Thomas Edward Pilutti, Matthew Y. Rupp, Peter Gyumyeong Joh",2012-01-17,2012-01-17,2013-07-18,,https://patents.google.com/patent/US20130184926A1/en
US20140222277A1,Display systems and methods for autonomous vehicles ,GM Global Technology Operations LLC,"Omer Tsimhoni, Asaf Degani, Charles A. Green, Jeremy A. Salinger, David M. Zande",2013-02-06,2014-01-23,2014-08-07,,https://patents.google.com/patent/US20140222277A1/en
US8521352B1,Controlling a vehicle having inadequate map data ,Google Inc.,"David I. Ferguson, Dmitri A. Dolgov",2012-05-07,2012-05-07,2013-08-27,2013-08-27,https://patents.google.com/patent/US8521352B1/en
US9315212B1,Trailer sensor module and associated method of wireless trailer identification and motion estimation ,"Ford Global Technologies, Llc","Christos Kyrtsos, Thomas Edward Pilutti, Erick Michael Lavoie",2014-10-13,2014-12-08,2016-04-19,2016-04-19,https://patents.google.com/patent/US9315212B1/en
US8676431B1,User interface for displaying object-based indications in an autonomous driving system ,Google Inc.,"Robertus Christianus Elisabeth Mariet, Manuel Christian Clement, Philip Nemec, Brian Cullinane",2013-03-12,2013-03-12,2014-03-18,2014-03-18,https://patents.google.com/patent/US8676431B1/en
US20130304514A1,Systems and methods for insurance based on monitored characteristics of an autonomous drive mode selection system ,Elwha Llc,"Roderick A. Hyde, Jordin T. Kare, David B. Tuckerman",2012-05-08,2012-05-08,2013-11-14,,https://patents.google.com/patent/US20130304514A1/en
US8949016B1,Systems and methods for determining whether a driving environment has changed ,Google Inc.,"David I. Ferguson, Dmitri A. Dolgov",2012-09-28,2012-09-28,2015-02-03,2015-02-03,https://patents.google.com/patent/US8949016B1/en
US8977007B1,Detecting a vehicle signal through image differencing and filtering ,Google Inc.,"David Ian Franklin Ferguson, Abhijit Ogale, Matthew Wang",2013-04-23,2013-04-23,2015-03-10,2015-03-10,https://patents.google.com/patent/US8977007B1/en
US20140195214A1,Automatic driver modeling for integration of human-controlled vehicles into an autonomous vehicle network ,International Business Machines Corporation,"James R. Kozloski, Timothy M. Lynar, Cristian VECCHIOLA",2013-01-10,2013-08-08,2014-07-10,,https://patents.google.com/patent/US20140195214A1/en
US20140309833A1,Mapping active and inactive construction zones for autonomous driving ,Google Inc.,"David I. Ferguson, Donald Jason Burnette",2013-04-10,2013-04-10,2014-10-16,,https://patents.google.com/patent/US20140309833A1/en
US20140032034A1,Transportation using network of unmanned aerial vehicles ,Singularity University,"Andreas Raptopoulos, Darlene Damm, Paola Santana, Martin Ling, Ido Baruchin",2012-05-09,2013-05-08,2014-01-30,,https://patents.google.com/patent/US20140032034A1/en
US8781669B1,Consideration of risks in active sensing for an autonomous vehicle ,Google Inc.,"Eric Teller, Peter Lombrozo",2012-05-14,2012-05-14,2014-07-15,2014-07-15,https://patents.google.com/patent/US8781669B1/en
US20140333468A1,Methods and Systems for Detecting Weather Conditions Including Sunlight Using Vehicle Onboard Sensors ,Google Inc.,"Jiajun Zhu, Dmitri Dolgov, Dave Ferguson",2013-05-07,2013-05-07,2014-11-13,,https://patents.google.com/patent/US20140333468A1/en
US9363690B1,Closed-loop optimization of a wireless network using an autonomous vehicle ,"Cisco Technology, Inc.","Baljit Singh, OM Prakash Suthar",2015-07-10,2015-09-15,2016-06-07,2016-06-07,https://patents.google.com/patent/US9363690B1/en
US20150336502A1,Communication between autonomous vehicle and external observers ,"Applied Minds, Llc","W. Daniel Hillis, Kjerstin I. WILLIAMS, Thomas A. Tombrello, James W. SARRETT, Luke W. Khanlian, Adrian L. KAEHLER, Russel Howe",2014-05-22,2014-05-22,2015-11-26,,https://patents.google.com/patent/US20150336502A1/en
US20130231824A1,Artificial Intelligence Valet Systems and Methods ,Florida A&M University,"Sihle K. Wilson, Ronald E. Benson",2012-03-05,2013-03-05,2013-09-05,,https://patents.google.com/patent/US20130231824A1/en
